species	CYAME	OSTTA	CHLRE	PHYPA	SELMO	PICAB	AMBTC	ELAGV	PHODC	MUSBA	MUSAC	MAIZE	SORBI	SETIT	ORYSJ	BRADI	HORVU	COFCA	SOLTU	SOLLC	VITVI	LOTJA	MEDTR	CICAR	PHAVU	GLYMA	CAJCA	MALDO	RICCO	MANES	POPTR	CUCSA	ARATH	CARPA	GOSRA	THECC	CITSI
CYAME	null	1:1	1:1	1:1	1:2	1:4	1:4	1:16	1:16	1:64	1:64	1:64	1:32	1:32	1:32	1:32	1:32	1:12	1:36	1:36	1:12	1:24	1:24	1:24	1:24	1:48	1:24	1:24	1:12	1:12	1:24	1:12	1:48	1:12	1:24	1:12	1:12
OSTTA	1:1	null	1:1	1:1	1:2	1:4	1:4	1:16	1:16	1:64	1:64	1:64	1:32	1:32	1:32	1:32	1:32	1:12	1:36	1:36	1:12	1:24	1:24	1:24	1:24	1:48	1:24	1:24	1:12	1:12	1:24	1:12	1:48	1:12	1:24	1:12	1:12
CHLRE	1:1	1:1	null	1:1	1:2	1:4	1:4	1:16	1:16	1:64	1:64	1:64	1:32	1:32	1:32	1:32	1:32	1:12	1:36	1:36	1:12	1:24	1:24	1:24	1:24	1:48	1:24	1:24	1:12	1:12	1:24	1:12	1:48	1:12	1:24	1:12	1:12
PHYPA	1:1	1:1	1:1	null	1:2	1:4	1:4	1:16	1:16	1:64	1:64	1:64	1:32	1:32	1:32	1:32	1:32	1:12	1:36	1:36	1:12	1:24	1:24	1:24	1:24	1:48	1:24	1:24	1:12	1:12	1:24	1:12	1:48	1:12	1:24	1:12	1:12
SELMO	2:1	2:1	2:1	2:1	null	1:2	1:2	1:8	1:8	1:32	1:32	1:32	1:16	1:16	1:16	1:16	1:16	1:6	1:18	1:18	1:6	1:12	1:12	1:12	1:12	1:24	1:12	1:12	1:6	1:6	1:12	1:6	1:24	1:6	1:12	1:6	1:6
PICAB	4:1	4:1	4:1	4:1	2:1	null	1:1	1:4	1:4	1:16	1:16	1:16	1:8	1:8	1:8	1:8	1:8	1:3	1:9	1:9	1:3	1:6	1:6	1:6	1:6	1:12	1:6	1:6	1:3	1:3	1:6	1:3	1:12	1:3	1:6	1:3	1:3
AMBTC	4:1	4:1	4:1	4:1	2:1	1:1	null	1:4	1:4	1:16	1:16	1:16	1:8	1:8	1:8	1:8	1:8	1:3	1:9	1:9	1:3	1:6	1:6	1:6	1:6	1:12	1:6	1:6	1:3	1:3	1:6	1:3	1:12	1:3	1:6	1:3	1:3
ELAGV	16:1	16:1	16:1	16:1	8:1	4:1	4:1	null	1:1	2:8	2:8	2:8	2:4	2:4	2:4	2:4	2:4	4:3	4:9	4:9	4:3	4:6	4:6	4:6	4:6	4:12	4:6	4:6	4:3	4:3	4:6	4:3	4:12	4:3	4:6	4:3	4:3
PHODC	16:1	16:1	16:1	16:1	8:1	4:1	4:1	1:1	null	2:8	2:8	2:8	2:4	2:4	2:4	2:4	2:4	4:3	4:9	4:9	4:3	4:6	4:6	4:6	4:6	4:12	4:6	4:6	4:3	4:3	4:6	4:3	4:12	4:3	4:6	4:3	4:3
MUSBA	64:1	64:1	64:1	64:1	32:1	16:1	16:1	8:2	8:2	null	1:1	8:8	8:4	8:4	8:4	8:4	8:4	16:3	16:9	16:9	16:3	16:6	16:6	16:6	16:6	16:12	16:6	16:6	16:3	16:3	16:6	16:3	16:12	16:3	16:6	16:3	16:3
MUSAC	64:1	64:1	64:1	64:1	32:1	16:1	16:1	8:2	8:2	1:1	null	8:8	8:4	8:4	8:4	8:4	8:4	16:3	16:9	16:9	16:3	16:6	16:6	16:6	16:6	16:12	16:6	16:6	16:3	16:3	16:6	16:3	16:12	16:3	16:6	16:3	16:3
MAIZE	64:1	64:1	64:1	64:1	32:1	16:1	16:1	8:2	8:2	8:8	8:8	null	2:1	2:1	2:1	2:1	2:1	16:3	16:9	16:9	16:3	16:6	16:6	16:6	16:6	16:12	16:6	16:6	16:3	16:3	16:6	16:3	16:12	16:3	16:6	16:3	16:3
SORBI	32:1	32:1	32:1	32:1	16:1	8:1	8:1	4:2	4:2	4:8	4:8	1:2	null	1:1	1:1	1:1	1:1	8:3	8:9	8:9	8:3	8:6	8:6	8:6	8:6	8:12	8:6	8:6	8:3	8:3	8:6	8:3	8:12	8:3	8:6	8:3	8:3
SETIT	32:1	32:1	32:1	32:1	16:1	8:1	8:1	4:2	4:2	4:8	4:8	1:2	1:1	null	1:1	1:1	1:1	8:3	8:9	8:9	8:3	8:6	8:6	8:6	8:6	8:12	8:6	8:6	8:3	8:3	8:6	8:3	8:12	8:3	8:6	8:3	8:3
ORYSJ	32:1	32:1	32:1	32:1	16:1	8:1	8:1	4:2	4:2	4:8	4:8	1:2	1:1	1:1	null	1:1	1:1	8:3	8:9	8:9	8:3	8:6	8:6	8:6	8:6	8:12	8:6	8:6	8:3	8:3	8:6	8:3	8:12	8:3	8:6	8:3	8:3
BRADI	32:1	32:1	32:1	32:1	16:1	8:1	8:1	4:2	4:2	4:8	4:8	1:2	1:1	1:1	1:1	null	1:1	8:3	8:9	8:9	8:3	8:6	8:6	8:6	8:6	8:12	8:6	8:6	8:3	8:3	8:6	8:3	8:12	8:3	8:6	8:3	8:3
HORVU	32:1	32:1	32:1	32:1	16:1	8:1	8:1	4:2	4:2	4:8	4:8	1:2	1:1	1:1	1:1	1:1	null	8:3	8:9	8:9	8:3	8:6	8:6	8:6	8:6	8:12	8:6	8:6	8:3	8:3	8:6	8:3	8:12	8:3	8:6	8:3	8:3
COFCA	12:1	12:1	12:1	12:1	6:1	3:1	3:1	3:4	3:4	3:16	3:16	3:16	3:8	3:8	3:8	3:8	3:8	null	1:3	1:3	1:1	1:2	1:2	1:2	1:2	1:4	1:2	1:2	1:1	1:1	1:2	1:1	1:4	1:1	1:2	1:1	1:1
SOLTU	36:1	36:1	36:1	36:1	18:1	9:1	9:1	9:4	9:4	9:16	9:16	9:16	9:8	9:8	9:8	9:8	9:8	3:1	null	1:1	3:1	3:2	3:2	3:2	3:2	3:4	3:2	3:2	3:1	3:1	3:2	3:1	3:4	3:1	3:2	3:1	3:1
SOLLC	36:1	36:1	36:1	36:1	18:1	9:1	9:1	9:4	9:4	9:16	9:16	9:16	9:8	9:8	9:8	9:8	9:8	3:1	1:1	null	3:1	3:2	3:2	3:2	3:2	3:4	3:2	3:2	3:1	3:1	3:2	3:1	3:4	3:1	3:2	3:1	3:1
VITVI	12:1	12:1	12:1	12:1	6:1	3:1	3:1	3:4	3:4	3:16	3:16	3:16	3:8	3:8	3:8	3:8	3:8	1:1	1:3	1:3	null	1:2	1:2	1:2	1:2	1:4	1:2	1:2	1:1	1:1	1:2	1:1	1:4	1:1	1:2	1:1	1:1
LOTJA	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	null	1:1	1:1	1:1	1:2	1:1	2:2	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
MEDTR	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	1:1	null	1:1	1:1	1:2	1:1	2:2	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
CICAR	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	1:1	1:1	null	1:1	1:2	1:1	2:2	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
PHAVU	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	1:1	1:1	1:1	null	1:2	1:1	2:2	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
GLYMA	48:1	48:1	48:1	48:1	24:1	12:1	12:1	12:4	12:4	12:16	12:16	12:16	12:8	12:8	12:8	12:8	12:8	4:1	4:3	4:3	4:1	2:1	2:1	2:1	2:1	null	2:1	4:2	4:1	4:1	4:2	4:1	4:4	4:1	4:2	4:1	4:1
CAJCA	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	1:1	1:1	1:1	1:1	1:2	null	2:2	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
MALDO	24:1	24:1	24:1	24:1	12:1	6:1	6:1	6:4	6:4	6:16	6:16	6:16	6:8	6:8	6:8	6:8	6:8	2:1	2:3	2:3	2:1	2:2	2:2	2:2	2:2	2:4	2:2	null	2:1	2:1	2:2	2:1	2:4	2:1	2:2	2:1	2:1
RICCO	12:1	12:1	12:1	12:1	6:1	3:1	3:1	3:4	3:4	3:16	3:16	3:16	3:8	3:8	3:8	3:8	3:8	1:1	1:3	1:3	1:1	1:2	1:2	1:2	1:2	1:4	1:2	1:2	null	1:1	1:2	1:1	1:4	1:1	1:2	1:1	1:1
MANES	12:1	12:1	12:1	12:1	6:1	3:1	3:1	3:4	3:4	3:16	3:16	3:16	3:8	3:8	3:8	3:8	3:8	1:1	1:3	1:3	1:1	1:2	1:2	1:2	1:2	1:4	1:2	1:2	1:1	null	1:2	1:1	1:4	1:1	1:2	1:1	1:1
